"bag_number","bottle_id","empty_bag_weight_g","sample_weight_g","ndf_weight_g","adf_weight_g","adl_weight_g","empty_crucible_weight_g","crucible_ash_weight_g","sample_type","quality_flag_bag","fulcrum_parent_id","leaf_chemistry_sample"
"1",,"0.5395",,"0.5444","0.542","0.5403","23.22","23.222","blank","good","17ec9326-ae02-4b95-984c-d3399dd3711a",
"2","11757342","0.5359","0.499","0.7224","0.6732","0.6228","33.0782","33.0823","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","b62656ff-a793-4deb-aed2-434ce13b4cc0"
"3","11761603","0.5342","0.5011","0.8117","0.6624","0.5475","31.2172","31.2192","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","73a43bbd-22f4-4672-97a5-d34ac536b398"
"4","11667486","0.5421","0.5012","0.719","0.6768","0.6321","28.8279","28.8322","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","a7823174-8707-41f8-ad97-4c3245b9eeea"
"5","11828466","0.5355","0.5014","0.827","0.6743","0.5522","28.4373","28.439","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","0d17af74-c3af-4e69-97ff-38ee75d803e9"
"6","11834388","0.5444","0.5012","0.7447","0.7075","0.636","25.2423","25.247","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","cb864f56-99aa-48a0-a284-306a86efec33"
"7","12082242","0.5419","0.5007","0.8359","0.6812","0.5566","26.8166","26.8184","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","60b1e289-c594-43a2-ad7b-cc6d1323a9bd"
"8","11932087","0.5298","0.5","0.636","0.6055","0.5674","28.6731","28.6754","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","259e78a1-bf56-46c6-9c3a-5c9bb6e62594"
"9","11831160","0.5343","0.5007","0.8264","0.6731","0.5496","22.9307","22.9327","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","82f1f312-8454-44ac-8059-46dba55ca121"
"10","11824578","0.4877","0.5","0.6673","0.6282","0.5619","30.5496","30.554","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","98041be7-7005-459c-afc3-c5598b8f7a8d"
"11","12092581","0.5285","0.5018","0.817","0.6632","0.542","28.0325","28.0343","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","429f5521-784b-4c7a-9bf5-266a182fa077"
"12","12086180","0.5354","0.5005","0.6504","0.6109","0.5738","29.3741","29.3764","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","0434ad3c-2cb3-45f4-9aa9-dfe054d19f91"
"13","11935788","0.5188","0.4992","0.7048","0.6579","0.5987","29.2483","29.2529","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","cd1241e2-a646-4158-a873-e46dc819efe7"
"14","11759793","0.5144","0.5006","0.6876","0.6509","0.5956","23.6094","23.6141","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","3b35c029-0d68-4525-871c-4287f17d5586"
"15","11926576","0.4923","0.5015","0.6877","0.6479","0.5767","25.8125","25.817","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","fdc1473e-de94-4879-9a2f-62efcfd71306"
"16","12004954","0.5069","0.4996","0.6228","0.5845","0.5491","25.2229","25.2253","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","f612d887-0814-4943-9044-472cf135d222"
"17","11841575","0.5371","0.5007","0.649","0.6131","0.5791","30.3176","30.3205","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","9efc362b-e9b5-4067-9064-d0a6bbd1d24e"
"18","11755108","0.5162","0.4994","0.7075","0.6703","0.5951","26.6137","26.6186","sample","good","17ec9326-ae02-4b95-984c-d3399dd3711a","82c35737-b05f-4d46-ad78-9a098139e3f5"
