"batch_number","project","date_started","measured_by","analysis_remarks"
"1","2018-Girard-MSc-UdeM","2018-11-09","Fabien Cichonski","Batch number 1"
"2","2018-Girard-MSc-UdeM","2018-11-12","Fabien Cichonski","Batch number 2"
"3","2018-Girard-MSc-UdeM","2018-11-21","Fabien Cichonski","Batch number 3"
"4","2018-Girard-MSc-UdeM","2018-11-22","Fabien Cichonski","Batch number 4"
"5","2018-Girard-MSc-UdeM","2018-11-23","Fabien Cichonski","Batch number 5"
"1","2018-BeauchampRioux-MSc-UdeM","2018-11-23","Fabien Cichonski","Batch number 1"
"2","2018-BeauchampRioux-MSc-UdeM","2018-11-27","Fabien Cichonski","Batch number 2"
"3","2018-BeauchampRioux-MSc-UdeM","2018-11-28","Fabien Cichonski","Batch number 3"
"4","2018-BeauchampRioux-MSc-UdeM","2018-11-30","Fabien Cichonski","Batch number 4"
"5","2018-BeauchampRioux-MSc-UdeM","2018-12-05","Fabien Cichonski","Batch number 5"
"6","2018-BeauchampRioux-MSc-UdeM","2018-12-07","Fabien Cichonski","Batch number 6"
"7","2018-BeauchampRioux-MSc-UdeM","2018-12-10","Fabien Cichonski","Batch number 7"
"8","2018-BeauchampRioux-MSc-UdeM","2018-12-12","Fabien Cichonski","Batch number 8"
